util,power,sm_clk,mem_clk,temp
43, 32.87, 840, 810, 55
17, 37.84, 1155, 5001, 55
14, 38.91, 1155, 5001, 55
19, 37.75, 735, 5001, 54
45, 33.81, 735, 810, 54
41, 33.37, 1005, 810, 54
100, 191.42, 1965, 6801, 61
100, 232.09, 1965, 6801, 62
100, 234.33, 1965, 6801, 62
100, 235.74, 1965, 6801, 63
100, 236.91, 1965, 6801, 63
100, 232.98, 1965, 6801, 63
100, 232.85, 1965, 6801, 63
100, 233.04, 1965, 6801, 64
100, 234.82, 1965, 6801, 64
100, 233.46, 1965, 6801, 64
100, 233.10, 1965, 6801, 64
100, 233.63, 1965, 6801, 65
100, 229.33, 1980, 6801, 64
100, 233.32, 1950, 6801, 65
100, 232.51, 1965, 6801, 65
100, 232.64, 1950, 6801, 65
100, 231.70, 1965, 6801, 65
100, 229.79, 1965, 6801, 65
100, 230.27, 1950, 6801, 65
100, 230.93, 1950, 6801, 66
100, 230.55, 1950, 6801, 66
100, 231.54, 1950, 6801, 66
100, 230.58, 1950, 6801, 66
100, 231.88, 1950, 6801, 66
100, 230.94, 1950, 6801, 66
100, 227.37, 1965, 6801, 66
100, 231.07, 1950, 6801, 66
100, 230.83, 1950, 6801, 66
100, 231.59, 1965, 6801, 66
100, 230.65, 1950, 6801, 66
100, 232.18, 1950, 6801, 67
100, 231.27, 1965, 6801, 67
100, 231.89, 1950, 6801, 67
100, 229.67, 1950, 6801, 67
100, 232.59, 1950, 6801, 67
100, 230.80, 1950, 6801, 67
100, 232.22, 1950, 6801, 67
100, 231.88, 1950, 6801, 67
100, 229.04, 1950, 6801, 67
100, 231.68, 1950, 6801, 67
100, 231.93, 1950, 6801, 67
100, 231.01, 1950, 6801, 67
100, 231.67, 1950, 6801, 67
100, 232.02, 1950, 6801, 67
100, 231.26, 1950, 6801, 67
100, 231.92, 1950, 6801, 67
100, 231.27, 1950, 6801, 67
100, 230.89, 1965, 6801, 67
100, 231.33, 1950, 6801, 67
100, 232.17, 1950, 6801, 68
100, 230.83, 1935, 6801, 68
100, 227.45, 1965, 6801, 68
100, 230.36, 1950, 6801, 68
100, 232.14, 1950, 6801, 68
100, 231.62, 1950, 6801, 68
100, 232.81, 1950, 6801, 68
100, 232.51, 1950, 6801, 68
100, 231.73, 1950, 6801, 68
100, 232.03, 1950, 6801, 68
100, 231.59, 1950, 6801, 68
100, 231.31, 1950, 6801, 68
100, 230.27, 1950, 6801, 68
100, 232.82, 1950, 6801, 68
100, 224.75, 1950, 6801, 68
