util,power,sm_clk,mem_clk,temp
28, 23.36, 210, 405, 55
28, 23.21, 210, 405, 54
28, 23.25, 210, 405, 54
30, 23.21, 210, 405, 54
28, 23.33, 210, 405, 54
31, 23.46, 210, 405, 53
23, 23.10, 210, 405, 53
29, 23.36, 210, 405, 53
100, 144.77, 1935, 6801, 61
100, 230.01, 1950, 6801, 62
100, 231.11, 1950, 6801, 62
100, 232.69, 1965, 6801, 63
100, 234.30, 1950, 6801, 63
100, 234.67, 1965, 6801, 63
100, 235.86, 1965, 6801, 64
100, 235.57, 1950, 6801, 64
100, 234.26, 1965, 6801, 64
100, 237.80, 1950, 6801, 64
100, 238.28, 1950, 6801, 65
100, 227.32, 1950, 6801, 65
100, 232.50, 1965, 6801, 65
100, 233.84, 1935, 6801, 66
100, 236.63, 1950, 6801, 66
100, 234.63, 1950, 6801, 66
100, 237.46, 1950, 6801, 66
100, 234.34, 1965, 6801, 66
100, 236.21, 1950, 6801, 66
100, 234.10, 1950, 6801, 66
100, 233.11, 1950, 6801, 67
100, 234.78, 1950, 6801, 67
100, 229.96, 1935, 6801, 66
100, 231.01, 1935, 6801, 67
100, 233.74, 1950, 6801, 67
100, 235.15, 1935, 6801, 67
100, 234.72, 1935, 6801, 67
100, 236.14, 1950, 6801, 67
100, 234.32, 1935, 6801, 68
100, 234.75, 1935, 6801, 67
100, 236.32, 1950, 6801, 68
100, 231.84, 1920, 6801, 68
100, 235.54, 1950, 6801, 68
100, 227.76, 1935, 6801, 68
100, 233.52, 1935, 6801, 68
100, 233.53, 1935, 6801, 68
100, 232.75, 1950, 6801, 68
100, 233.20, 1935, 6801, 68
100, 234.13, 1935, 6801, 68
100, 236.23, 1935, 6801, 68
100, 236.90, 1935, 6801, 68
100, 236.57, 1935, 6801, 69
100, 235.64, 1950, 6801, 69
100, 235.88, 1935, 6801, 69
100, 227.50, 1950, 6801, 68
100, 235.40, 1950, 6801, 69
100, 235.10, 1935, 6801, 69
100, 234.40, 1935, 6801, 69
100, 234.16, 1950, 6801, 69
100, 236.10, 1935, 6801, 69
100, 235.60, 1935, 6801, 69
100, 236.01, 1935, 6801, 69
100, 236.59, 1935, 6801, 69
100, 235.41, 1950, 6801, 69
100, 237.93, 1950, 6801, 69
