util,power,sm_clk,mem_clk,temp
46, 36.05, 840, 810, 55
20, 38.77, 1140, 5001, 55
20, 39.61, 1140, 5001, 55
46, 34.92, 885, 810, 55
18, 40.77, 1260, 5001, 55
100, 103.03, 1830, 6801, 55
100, 228.00, 1965, 6801, 63
100, 226.96, 1965, 6801, 63
100, 227.65, 1965, 6801, 63
100, 227.78, 1965, 6801, 64
100, 227.64, 1965, 6801, 64
100, 228.00, 1965, 6801, 64
100, 228.05, 1965, 6801, 64
100, 228.98, 1965, 6801, 64
100, 228.28, 1965, 6801, 65
100, 228.97, 1965, 6801, 65
100, 228.10, 1965, 6801, 65
100, 229.97, 1965, 6801, 65
100, 224.63, 1965, 6801, 64
100, 229.59, 1965, 6801, 65
100, 232.06, 1965, 6801, 66
100, 233.62, 1965, 6801, 66
100, 233.07, 1965, 6801, 66
100, 233.42, 1965, 6801, 66
100, 233.24, 1965, 6801, 66
100, 233.58, 1965, 6801, 67
100, 233.47, 1965, 6801, 67
100, 233.99, 1965, 6801, 67
100, 233.09, 1965, 6801, 67
100, 232.96, 1965, 6801, 67
100, 230.24, 1950, 6801, 67
99, 226.10, 1950, 6801, 66
100, 230.10, 1950, 6801, 67
100, 230.38, 1950, 6801, 67
100, 230.41, 1950, 6801, 67
100, 230.79, 1950, 6801, 67
100, 230.17, 1950, 6801, 67
100, 229.79, 1950, 6801, 67
100, 229.95, 1950, 6801, 67
100, 230.45, 1950, 6801, 67
100, 230.02, 1965, 6801, 68
100, 230.04, 1950, 6801, 68
100, 230.82, 1965, 6801, 67
100, 230.09, 1950, 6801, 68
100, 231.73, 1950, 6801, 68
100, 225.68, 1965, 6801, 67
100, 230.38, 1950, 6801, 68
100, 230.13, 1950, 6801, 68
100, 229.81, 1950, 6801, 68
100, 231.16, 1950, 6801, 68
100, 231.11, 1950, 6801, 68
100, 230.96, 1950, 6801, 68
100, 231.41, 1965, 6801, 68
100, 230.89, 1950, 6801, 68
100, 231.54, 1950, 6801, 68
100, 230.20, 1950, 6801, 68
100, 231.26, 1950, 6801, 68
100, 232.10, 1950, 6801, 68
100, 227.20, 1950, 6801, 68
100, 230.64, 1935, 6801, 69
100, 231.19, 1950, 6801, 68
100, 230.58, 1950, 6801, 68
100, 231.05, 1950, 6801, 68
100, 230.31, 1950, 6801, 69
100, 230.91, 1950, 6801, 69
100, 230.29, 1950, 6801, 68
100, 231.57, 1950, 6801, 69
100, 230.90, 1950, 6801, 69
100, 231.23, 1950, 6801, 69
100, 231.38, 1965, 6801, 69
100, 231.27, 1950, 6801, 69
