util,power,sm_clk,mem_clk,temp
13, 22.08, 210, 405, 55
13, 22.11, 210, 405, 54
13, 21.97, 210, 405, 54
12, 21.78, 210, 405, 54
12, 21.87, 210, 405, 54
12, 21.78, 210, 405, 54
11, 21.99, 210, 405, 53
16, 21.83, 210, 405, 53
100, 121.82, 1965, 6801, 61
100, 238.45, 1965, 6801, 62
100, 237.34, 1950, 6801, 63
100, 239.63, 1950, 6801, 63
100, 238.82, 1950, 6801, 63
100, 237.79, 1950, 6801, 63
100, 238.46, 1950, 6801, 64
100, 238.89, 1950, 6801, 64
100, 236.55, 1950, 6801, 64
100, 238.53, 1950, 6801, 65
100, 239.36, 1950, 6801, 65
100, 230.90, 1950, 6801, 65
100, 238.00, 1950, 6801, 65
100, 239.01, 1950, 6801, 65
100, 239.04, 1950, 6801, 65
100, 239.53, 1950, 6801, 66
100, 238.37, 1935, 6801, 66
100, 239.03, 1950, 6801, 66
100, 239.03, 1950, 6801, 66
100, 238.76, 1935, 6801, 66
100, 239.04, 1950, 6801, 67
100, 233.33, 1935, 6801, 66
100, 238.46, 1950, 6801, 67
100, 238.49, 1935, 6801, 67
100, 235.59, 1935, 6801, 67
100, 236.71, 1935, 6801, 67
100, 237.18, 1935, 6801, 67
100, 237.28, 1935, 6801, 67
100, 237.81, 1935, 6801, 67
100, 238.06, 1935, 6801, 67
100, 238.31, 1935, 6801, 67
100, 238.49, 1935, 6801, 68
100, 227.64, 1905, 6801, 67
100, 233.61, 1935, 6801, 67
100, 237.93, 1935, 6801, 68
100, 238.09, 1935, 6801, 68
100, 236.93, 1935, 6801, 68
100, 236.94, 1920, 6801, 68
100, 237.60, 1935, 6801, 68
100, 238.23, 1935, 6801, 68
100, 238.51, 1935, 6801, 68
100, 238.45, 1935, 6801, 68
100, 232.13, 1935, 6801, 68
100, 235.58, 1935, 6801, 68
100, 236.71, 1935, 6801, 68
100, 239.41, 1935, 6801, 68
100, 238.07, 1935, 6801, 69
100, 237.81, 1935, 6801, 68
100, 236.09, 1935, 6801, 68
100, 238.81, 1935, 6801, 69
100, 238.42, 1935, 6801, 69
100, 237.81, 1935, 6801, 69
100, 238.10, 1935, 6801, 69
