util,power,sm_clk,mem_clk,temp
19, 37.11, 1155, 5001, 54
21, 39.81, 1155, 5001, 54
24, 38.25, 600, 810, 54
45, 33.77, 1230, 5001, 54
19, 40.17, 1230, 5001, 54
22, 38.46, 885, 5001, 54
20, 38.88, 885, 5001, 53
46, 34.79, 720, 810, 53
19, 38.45, 1260, 5001, 53
15, 52.50, 1830, 6801, 54
14, 57.87, 1830, 6801, 54
13, 57.65, 1830, 6801, 53
13, 57.74, 1830, 6801, 53
14, 58.02, 1830, 6801, 53
14, 58.05, 1830, 6801, 53
20, 51.18, 945, 5001, 52
25, 39.09, 780, 5001, 52
52, 35.77, 1095, 810, 52
19, 45.87, 1425, 6801, 52
47, 41.09, 795, 810, 52
19, 38.61, 1185, 5001, 52
18, 38.78, 1185, 5001, 52
18, 36.12, 1200, 5001, 51
18, 39.35, 1200, 5001, 51
44, 34.44, 1125, 810, 51
100, 145.08, 1980, 6801, 59
100, 228.18, 1980, 6801, 60
100, 228.96, 1965, 6801, 60
100, 229.68, 1965, 6801, 61
100, 229.40, 1980, 6801, 61
100, 231.00, 1980, 6801, 61
100, 230.39, 1965, 6801, 61
100, 227.74, 1980, 6801, 61
100, 230.43, 1965, 6801, 62
100, 228.62, 1965, 6801, 62
100, 229.09, 1980, 6801, 62
100, 230.46, 1980, 6801, 63
100, 230.34, 1965, 6801, 63
100, 226.37, 1965, 6801, 63
100, 228.49, 1980, 6801, 63
100, 229.64, 1965, 6801, 63
100, 229.43, 1980, 6801, 63
100, 229.54, 1980, 6801, 64
100, 230.15, 1980, 6801, 64
100, 228.86, 1965, 6801, 64
100, 227.50, 1965, 6801, 64
100, 227.50, 1965, 6801, 64
100, 225.70, 1965, 6801, 64
100, 227.77, 1965, 6801, 64
100, 229.08, 1965, 6801, 64
99, 223.27, 1965, 6801, 65
100, 226.51, 1965, 6801, 65
100, 227.98, 1950, 6801, 65
100, 228.32, 1965, 6801, 65
100, 227.37, 1950, 6801, 65
100, 231.11, 1965, 6801, 65
100, 234.73, 1950, 6801, 65
100, 235.25, 1965, 6801, 65
100, 235.37, 1950, 6801, 66
100, 234.32, 1965, 6801, 66
100, 234.50, 1950, 6801, 66
100, 234.23, 1965, 6801, 66
100, 235.66, 1950, 6801, 66
100, 227.75, 1965, 6801, 66
100, 234.71, 1950, 6801, 66
100, 234.26, 1965, 6801, 66
100, 235.50, 1965, 6801, 66
100, 234.44, 1965, 6801, 67
100, 235.29, 1965, 6801, 67
100, 234.39, 1965, 6801, 67
100, 233.85, 1950, 6801, 67
100, 234.77, 1950, 6801, 67
100, 234.71, 1965, 6801, 67
100, 236.40, 1965, 6801, 67
100, 234.57, 1965, 6801, 67
100, 235.88, 1950, 6801, 67
100, 227.97, 1965, 6801, 67
100, 233.65, 1965, 6801, 67
100, 234.38, 1965, 6801, 67
100, 233.91, 1965, 6801, 67
100, 235.29, 1965, 6801, 67
100, 235.66, 1965, 6801, 68
100, 235.22, 1965, 6801, 67
100, 235.16, 1950, 6801, 68
100, 234.04, 1965, 6801, 68
100, 235.46, 1950, 6801, 68
100, 234.07, 1965, 6801, 68
100, 234.96, 1965, 6801, 68
100, 235.70, 1950, 6801, 68
