util,power,sm_clk,mem_clk,temp
19, 40.93, 1245, 5001, 54
22, 40.01, 705, 5001, 54
19, 36.90, 1290, 5001, 54
19, 41.50, 1290, 5001, 54
47, 35.46, 915, 810, 53
19, 40.12, 1215, 5001, 53
14, 56.95, 1830, 6801, 54
13, 57.85, 1830, 6801, 54
14, 57.56, 1830, 6801, 54
14, 57.80, 1830, 6801, 54
100, 177.18, 1980, 6801, 60
100, 226.36, 1980, 6801, 61
100, 227.20, 1965, 6801, 61
100, 228.68, 1965, 6801, 61
100, 227.43, 1980, 6801, 62
100, 227.86, 1980, 6801, 62
100, 229.74, 1980, 6801, 63
100, 228.76, 1980, 6801, 63
100, 228.47, 1965, 6801, 63
100, 228.86, 1980, 6801, 63
100, 229.14, 1980, 6801, 63
100, 227.11, 1965, 6801, 63
100, 224.94, 1965, 6801, 63
100, 222.80, 1965, 6801, 64
100, 224.57, 1965, 6801, 64
100, 223.68, 1965, 6801, 64
100, 226.92, 1965, 6801, 64
100, 228.02, 1965, 6801, 64
100, 228.43, 1965, 6801, 64
100, 226.17, 1965, 6801, 64
100, 225.85, 1965, 6801, 64
100, 226.47, 1965, 6801, 65
100, 226.16, 1965, 6801, 65
100, 226.85, 1965, 6801, 65
100, 225.63, 1965, 6801, 65
100, 227.10, 1965, 6801, 65
99, 222.66, 1965, 6801, 65
100, 225.88, 1965, 6801, 65
100, 227.92, 1965, 6801, 65
100, 227.34, 1950, 6801, 66
100, 229.55, 1965, 6801, 65
100, 226.73, 1965, 6801, 65
100, 228.01, 1965, 6801, 66
100, 227.31, 1965, 6801, 66
100, 227.83, 1965, 6801, 66
100, 227.49, 1965, 6801, 66
100, 228.61, 1965, 6801, 66
100, 226.98, 1965, 6801, 66
100, 227.40, 1965, 6801, 66
100, 227.08, 1965, 6801, 66
100, 225.26, 1950, 6801, 66
100, 227.51, 1965, 6801, 66
100, 226.55, 1965, 6801, 66
100, 227.01, 1965, 6801, 66
100, 227.15, 1965, 6801, 66
100, 227.49, 1965, 6801, 66
100, 227.71, 1965, 6801, 66
100, 228.32, 1965, 6801, 67
100, 227.67, 1965, 6801, 67
100, 229.66, 1965, 6801, 67
100, 229.10, 1965, 6801, 67
100, 228.25, 1965, 6801, 67
100, 228.48, 1965, 6801, 67
100, 222.12, 1965, 6801, 67
100, 227.79, 1965, 6801, 67
100, 227.51, 1965, 6801, 67
100, 228.33, 1950, 6801, 67
100, 228.52, 1965, 6801, 67
100, 226.94, 1950, 6801, 67
100, 227.24, 1965, 6801, 67
100, 228.05, 1965, 6801, 67
100, 228.68, 1965, 6801, 67
100, 228.58, 1965, 6801, 67
100, 228.48, 1965, 6801, 67
100, 229.92, 1950, 6801, 67
100, 228.10, 1965, 6801, 67
100, 222.58, 1965, 6801, 67
