util,power,sm_clk,mem_clk,temp
19, 36.47, 1245, 5001, 54
19, 40.63, 1245, 5001, 54
46, 36.46, 1080, 810, 54
19, 40.86, 1245, 5001, 54
48, 37.52, 750, 810, 53
13, 49.43, 1830, 6801, 54
13, 57.94, 1830, 6801, 54
14, 58.00, 1830, 6801, 54
14, 57.98, 1830, 6801, 54
100, 139.92, 1965, 6801, 60
100, 235.36, 1950, 6801, 61
100, 235.40, 1950, 6801, 62
100, 235.46, 1965, 6801, 62
100, 233.63, 1965, 6801, 62
100, 234.31, 1965, 6801, 63
100, 234.75, 1950, 6801, 63
100, 234.88, 1965, 6801, 63
100, 235.72, 1965, 6801, 63
100, 236.00, 1965, 6801, 64
100, 235.70, 1965, 6801, 64
100, 235.07, 1950, 6801, 64
100, 235.28, 1965, 6801, 64
100, 232.10, 1935, 6801, 64
100, 238.48, 1950, 6801, 65
100, 237.15, 1935, 6801, 65
100, 237.88, 1935, 6801, 65
100, 238.36, 1950, 6801, 65
100, 238.14, 1950, 6801, 65
100, 238.40, 1935, 6801, 65
100, 238.34, 1950, 6801, 66
100, 237.65, 1935, 6801, 66
100, 237.12, 1935, 6801, 66
100, 238.18, 1950, 6801, 66
100, 237.83, 1950, 6801, 66
100, 237.63, 1950, 6801, 66
100, 238.66, 1950, 6801, 66
100, 233.99, 1950, 6801, 66
100, 238.18, 1935, 6801, 66
100, 238.00, 1950, 6801, 67
100, 238.30, 1950, 6801, 66
100, 237.65, 1935, 6801, 66
100, 236.98, 1935, 6801, 67
100, 238.67, 1950, 6801, 67
100, 238.06, 1950, 6801, 67
100, 238.23, 1950, 6801, 67
100, 238.28, 1935, 6801, 67
100, 237.37, 1950, 6801, 67
100, 238.46, 1950, 6801, 67
100, 238.62, 1950, 6801, 67
100, 237.53, 1935, 6801, 67
100, 232.44, 1950, 6801, 67
100, 238.81, 1950, 6801, 67
100, 237.27, 1950, 6801, 68
100, 237.93, 1935, 6801, 68
100, 238.51, 1950, 6801, 68
100, 238.61, 1935, 6801, 68
100, 238.22, 1950, 6801, 68
100, 238.79, 1950, 6801, 68
100, 238.00, 1950, 6801, 68
100, 237.51, 1950, 6801, 68
100, 238.75, 1950, 6801, 68
100, 238.26, 1935, 6801, 68
100, 239.17, 1935, 6801, 68
100, 231.75, 1935, 6801, 68
100, 238.61, 1935, 6801, 68
100, 238.01, 1935, 6801, 68
100, 238.72, 1935, 6801, 68
100, 238.11, 1935, 6801, 69
100, 237.18, 1935, 6801, 69
100, 237.55, 1935, 6801, 69
100, 239.18, 1950, 6801, 69
100, 238.90, 1935, 6801, 69
100, 239.18, 1935, 6801, 69
100, 238.44, 1935, 6801, 69
100, 239.36, 1935, 6801, 69
100, 238.78, 1950, 6801, 69
100, 237.31, 1935, 6801, 69
