util,power,sm_clk,mem_clk,temp
19, 40.58, 1230, 5001, 54
22, 40.21, 780, 5001, 54
52, 36.12, 645, 810, 54
17, 37.93, 1215, 5001, 53
19, 39.80, 1215, 5001, 53
19, 36.67, 1020, 810, 53
15, 45.27, 1380, 6801, 53
46, 38.99, 735, 810, 53
19, 39.83, 1170, 5001, 53
79, 56.95, 1830, 6801, 53
100, 216.83, 1980, 6801, 60
100, 224.95, 1980, 6801, 61
100, 225.23, 1980, 6801, 61
100, 227.34, 1980, 6801, 61
100, 230.15, 1980, 6801, 62
100, 228.75, 1980, 6801, 62
100, 228.02, 1980, 6801, 62
100, 227.32, 1965, 6801, 63
100, 227.65, 1980, 6801, 63
100, 226.94, 1980, 6801, 63
100, 226.87, 1980, 6801, 63
100, 228.87, 1980, 6801, 63
100, 222.91, 1965, 6801, 64
100, 226.79, 1965, 6801, 64
100, 220.19, 1965, 6801, 64
100, 221.84, 1965, 6801, 64
100, 223.28, 1965, 6801, 64
100, 224.09, 1965, 6801, 64
100, 221.02, 1965, 6801, 64
100, 222.12, 1965, 6801, 64
100, 221.50, 1965, 6801, 64
100, 221.86, 1965, 6801, 65
100, 224.87, 1965, 6801, 65
100, 225.48, 1965, 6801, 65
100, 218.03, 1965, 6801, 65
100, 223.10, 1965, 6801, 65
100, 226.80, 1965, 6801, 65
100, 229.89, 1965, 6801, 65
100, 230.13, 1965, 6801, 66
100, 230.00, 1965, 6801, 66
100, 229.22, 1965, 6801, 66
100, 229.72, 1965, 6801, 66
100, 230.18, 1965, 6801, 66
100, 231.80, 1965, 6801, 66
100, 230.16, 1965, 6801, 66
100, 232.75, 1965, 6801, 67
100, 231.97, 1965, 6801, 66
100, 224.30, 1950, 6801, 66
100, 229.17, 1965, 6801, 66
100, 230.60, 1965, 6801, 66
100, 231.34, 1965, 6801, 67
100, 230.00, 1965, 6801, 66
100, 232.69, 1965, 6801, 67
100, 233.07, 1965, 6801, 67
100, 231.28, 1965, 6801, 67
100, 232.33, 1965, 6801, 67
100, 231.38, 1965, 6801, 67
100, 230.49, 1965, 6801, 67
100, 230.95, 1965, 6801, 67
100, 228.15, 1965, 6801, 67
100, 229.27, 1965, 6801, 67
100, 232.09, 1965, 6801, 67
100, 232.61, 1965, 6801, 67
100, 233.44, 1965, 6801, 67
100, 231.78, 1965, 6801, 67
100, 232.83, 1965, 6801, 68
100, 232.39, 1965, 6801, 68
100, 231.72, 1965, 6801, 68
100, 231.84, 1965, 6801, 68
100, 231.37, 1965, 6801, 68
100, 231.93, 1950, 6801, 68
100, 233.82, 1965, 6801, 68
