util,power,sm_clk,mem_clk,temp
38, 35.10, 480, 810, 54
36, 31.75, 495, 810, 54
34, 31.63, 495, 810, 54
36, 31.72, 480, 810, 53
42, 31.85, 495, 810, 53
80, 70.00, 1980, 6801, 58
100, 232.75, 1980, 6801, 61
100, 233.82, 1965, 6801, 62
100, 234.42, 1965, 6801, 62
100, 233.65, 1965, 6801, 62
100, 234.62, 1965, 6801, 63
100, 235.33, 1965, 6801, 63
100, 234.89, 1965, 6801, 63
100, 234.53, 1965, 6801, 64
100, 235.48, 1965, 6801, 64
100, 235.51, 1950, 6801, 64
100, 237.83, 1950, 6801, 64
100, 237.25, 1950, 6801, 65
100, 233.10, 1950, 6801, 65
100, 236.38, 1950, 6801, 65
100, 237.08, 1965, 6801, 65
100, 235.98, 1965, 6801, 65
100, 236.91, 1950, 6801, 65
100, 236.58, 1965, 6801, 65
100, 236.64, 1950, 6801, 66
100, 238.23, 1950, 6801, 66
100, 237.43, 1950, 6801, 66
100, 236.68, 1950, 6801, 66
100, 237.25, 1950, 6801, 66
100, 238.23, 1950, 6801, 66
100, 232.68, 1950, 6801, 66
100, 237.68, 1950, 6801, 66
100, 238.79, 1950, 6801, 67
100, 237.69, 1950, 6801, 67
100, 238.41, 1950, 6801, 67
100, 238.90, 1950, 6801, 67
100, 238.21, 1950, 6801, 67
100, 237.16, 1950, 6801, 67
100, 238.43, 1950, 6801, 67
100, 237.63, 1950, 6801, 67
100, 237.75, 1965, 6801, 67
100, 237.82, 1950, 6801, 67
100, 238.43, 1950, 6801, 68
100, 232.79, 1950, 6801, 67
100, 237.55, 1950, 6801, 68
100, 236.60, 1950, 6801, 68
100, 237.95, 1950, 6801, 68
100, 237.92, 1950, 6801, 68
100, 237.93, 1965, 6801, 68
100, 237.59, 1950, 6801, 68
100, 237.12, 1950, 6801, 68
100, 239.10, 1950, 6801, 68
100, 238.30, 1950, 6801, 68
100, 237.90, 1935, 6801, 68
100, 237.20, 1950, 6801, 68
100, 233.91, 1950, 6801, 68
100, 238.53, 1950, 6801, 69
100, 238.72, 1950, 6801, 69
100, 236.97, 1965, 6801, 68
100, 237.37, 1950, 6801, 69
100, 238.10, 1935, 6801, 69
100, 238.42, 1950, 6801, 68
100, 237.70, 1935, 6801, 69
100, 237.47, 1935, 6801, 69
100, 237.27, 1950, 6801, 69
100, 238.21, 1965, 6801, 69
100, 236.30, 1950, 6801, 69
100, 236.14, 1950, 6801, 69
