util,power,sm_clk,mem_clk,temp
39, 32.11, 840, 810, 54
17, 34.68, 1080, 810, 54
18, 39.54, 1215, 5001, 54
35, 35.18, 630, 810, 54
37, 31.63, 615, 810, 53
32, 32.00, 795, 810, 53
100, 208.43, 1950, 6801, 61
100, 239.33, 1935, 6801, 62
100, 239.03, 1920, 6801, 62
100, 238.33, 1935, 6801, 63
100, 238.89, 1950, 6801, 63
100, 239.05, 1950, 6801, 63
100, 238.76, 1935, 6801, 63
100, 238.97, 1950, 6801, 64
100, 238.89, 1935, 6801, 64
100, 238.38, 1935, 6801, 64
100, 239.31, 1935, 6801, 65
100, 238.70, 1935, 6801, 65
100, 235.41, 1950, 6801, 65
100, 238.71, 1950, 6801, 65
100, 239.29, 1950, 6801, 65
100, 238.66, 1935, 6801, 65
100, 238.78, 1935, 6801, 66
100, 238.27, 1935, 6801, 65
100, 238.85, 1935, 6801, 66
100, 239.37, 1935, 6801, 66
100, 238.22, 1950, 6801, 66
100, 238.65, 1935, 6801, 66
100, 238.54, 1935, 6801, 66
100, 239.02, 1920, 6801, 67
100, 238.43, 1935, 6801, 67
100, 233.66, 1935, 6801, 67
100, 238.29, 1935, 6801, 67
100, 238.53, 1920, 6801, 67
100, 239.01, 1920, 6801, 67
100, 238.79, 1935, 6801, 67
100, 238.38, 1935, 6801, 67
100, 238.50, 1920, 6801, 67
100, 238.80, 1935, 6801, 67
100, 238.70, 1935, 6801, 67
100, 239.06, 1935, 6801, 67
100, 239.06, 1920, 6801, 68
100, 238.94, 1935, 6801, 68
100, 233.61, 1920, 6801, 68
100, 238.74, 1935, 6801, 68
100, 238.50, 1920, 6801, 68
100, 238.46, 1935, 6801, 68
100, 238.63, 1935, 6801, 68
100, 238.89, 1935, 6801, 68
100, 238.24, 1935, 6801, 68
100, 239.17, 1920, 6801, 68
100, 238.53, 1920, 6801, 68
100, 238.57, 1935, 6801, 68
100, 238.77, 1920, 6801, 68
100, 238.56, 1935, 6801, 69
100, 238.98, 1935, 6801, 68
100, 234.05, 1935, 6801, 68
100, 236.16, 1935, 6801, 69
100, 229.63, 1965, 6801, 68
100, 230.78, 1950, 6801, 69
100, 238.72, 1920, 6801, 68
100, 238.37, 1950, 6801, 69
100, 238.54, 1920, 6801, 69
100, 238.99, 1920, 6801, 69
100, 238.89, 1920, 6801, 69
100, 238.46, 1935, 6801, 69
100, 237.56, 1920, 6801, 69
100, 238.59, 1935, 6801, 69
100, 238.29, 1935, 6801, 69
